0,1,6
0,18,5
0,54,38
0,159,18
0,305,5
1,27,9
1,77,5
1,174,9
1,250,5
1,393,5
1,411,9
1,467,4
1,773,7
1,829,5
1,976,10
1,987,5
1,1064,10
1,1075,7
1,1232,36
1,1353,5
1,1359,18
2,18,30
2,78,26
2,132,5
3,5,21
3,35,28
3,68,21
3,91,3
3,300,10
3,343,3
3,392,13
3,470,16
3,818,20
3,913,6
3,953,14
3,1227,3
3,1296,5
3,1302,4
3,1554,3
4,44,26
4,77,6
4,88,5
4,98,5
4,157,26
4,185,6
4,250,11
4,267,21
4,333,11
4,355,5
4,369,5
4,375,6
4,556,5
4,671,6
4,791,5
4,797,6
4,871,6
4,951,5
4,1105,5
4,1115,5
4,1121,6
4,1286,5
4,1296,5
4,1389,6
4,1433,4
4,1559,5
4,1673,9
4,1736,5
4,1848,9
5,66,36
6,56,16
6,522,15
6,539,27
6,568,15
6,594,16
6,612,23
6,641,20
7,20,9
8,44,8
8,127,3
9,0,3
9,8,8
9,54,12
9,67,13
9,104,6
9,156,6
9,222,32
9,471,3
9,476,7
9,485,8
9,564,5
9,753,3
9,758,7
9,767,8
9,779,8
9,850,3
9,855,7
9,864,8
9,877,8
9,920,5
9,968,3
9,1009,3
9,1100,3
9,1108,8
9,1192,3
9,1200,8
9,1350,12
9,1525,3
9,1533,8
9,1573,3
9,1581,8
9,1593,5
9,1614,13
10,28,5
10,46,25
10,103,5
10,135,5
10,167,26
10,222,5
10,278,17
10,323,5
10,355,17
10,397,5
10,424,5
10,528,5
10,562,8
10,653,5
10,687,5
10,724,5
11,60,5
11,95,5
11,132,31
11,165,3
11,170,3
11,215,10
11,273,3
11,417,3
11,545,5
11,581,5
11,643,5
11,870,3
11,949,5
11,1007,10
11,1026,8
12,10,3
12,49,24
12,73,8
12,88,21
13,19,5
13,40,21
13,63,3
13,68,21
13,91,3
13,102,17
13,137,18
13,157,19
13,181,30
13,213,3
13,303,5
13,348,3
13,400,3
13,435,5
13,508,8
13,573,8
13,585,10
13,649,1
13,660,3
13,762,10
13,808,8
13,824,6
13,837,10
13,859,7
13,921,8
13,933,9
13,970,7
13,1082,11
13,1247,7
13,1400,5
